filename,path,doc_type,confidence,method
session-20251105-133211.md,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251110-191121\session-manager\notes\session-20251105-133211.md,technical_documentation,0.9,pattern_override
Quick-Fix.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251110-191121\session-manager\scripts\Quick-Fix.ps1,technical_script,0.98,pattern_override
ProjectSettings.json,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251113-230918\OneDrive-Scripts\.vs\ProjectSettings.json,technical_config,0.98,pattern_override
Tag-ActiveSessions.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251113-230918\OneDrive-Scripts\Archive\session-management-old\Tag-ActiveSessions.ps1,technical_script,0.98,pattern_override
Invoke-DownloadOrganization.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251113-230918\OneDrive-Scripts\File-Organization\Invoke-DownloadOrganization.ps1,technical_script,0.98,pattern_override
onedrive-config-management-guide-v01-20251108.md,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251113-230918\OneDrive-Scripts\Projects\OneDrive-Reorganization\onedrive-config-management-guide-v01-20251108.md,technical_documentation,0.95,pattern_override
test-export-fix.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251113-230918\OneDrive-Scripts\Tools\LiveReviewConsole\test-export-fix.ps1,technical_script,0.98,pattern_override
report-20251109-165419.json,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251113-230918\session-manager\health-reports\report-20251109-165419.json,technical_config,0.98,pattern_override
session-20251105-103716.md,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251113-230918\session-manager\notes\session-20251105-103716.md,technical_documentation,0.9,pattern_override
summary-20251108-053825.md,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251113-230918\session-manager\summaries\summary-20251108-053825.md,technical_documentation,0.9,pattern_override
commands.md,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\session-manager-backup-\commands.md,technical_documentation,0.9,pattern_override
summary-20251108-105050.md,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\session-manager-backup-\summaries\summary-20251108-105050.md,technical_documentation,0.9,pattern_override
document.md,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\commands\document.md,technical_documentation,0.9,pattern_override
Manage-Sessions-v2.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\session-manager\Manage-Sessions-v2.ps1,technical_script,0.98,pattern_override
report-20251108-105050.json,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\session-manager\health-reports\report-20251108-105050.json,technical_config,0.98,pattern_override
d5237ae3-bec1-4833-9a43-fe8a32c04f32-agent-d5237ae3-bec1-4833-9a43-fe8a32c04f32.json,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\todos\d5237ae3-bec1-4833-9a43-fe8a32c04f32-agent-d5237ae3-bec1-4833-9a43-fe8a32c04f32.json,technical_config,0.98,pattern_override
e912aba5-3ab4-4729-92e6-991c334063ad-agent-e912aba5-3ab4-4729-92e6-991c334063ad.json,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\todos\e912aba5-3ab4-4729-92e6-991c334063ad-agent-e912aba5-3ab4-4729-92e6-991c334063ad.json,technical_config,0.98,pattern_override
optimization-quick-start.md,.ifmos\training_sample\50_Knowledge\AI\Claude\Documentation\optimization-quick-start.md,technical_documentation,0.9,pattern_override
Remove-ClaudeDesktopRegistry.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\scripts\Remove-ClaudeDesktopRegistry.ps1,technical_script,0.98,pattern_override
6.55_data.xlsx,.ifmos\training_sample\50_Knowledge\Education\6.55_data.xlsx,business_spreadsheet,0.9,pattern_override
Figure E2.3(b).xlsx,.ifmos\training_sample\50_Knowledge\Education\Figure E2.3(b).xlsx,business_spreadsheet,0.9,pattern_override
Lab9_Monday_Data.xlsx,.ifmos\training_sample\50_Knowledge\Education\Lab9_Monday_Data.xlsx,business_spreadsheet,0.9,pattern_override
SE1.xlsx,.ifmos\training_sample\50_Knowledge\Education\SE1.xlsx,business_spreadsheet,0.9,pattern_override
Spider Chart  1_v3.xlsx,.ifmos\training_sample\50_Knowledge\Education\Spider Chart  1_v3.xlsx,business_spreadsheet,0.9,pattern_override
5.5.xlsx,.ifmos\training_sample\50_Knowledge\Education\New folder (2)\School\BSME-UNM\ME318L\HW#2\5.5.xlsx,business_spreadsheet,0.9,pattern_override
Data Tables & Calulations.xlsx,.ifmos\training_sample\50_Knowledge\Education\New folder (3)\School\BSME-UNM\ME317L\Data Tables & Calulations.xlsx,business_spreadsheet,0.9,pattern_override
API_NY.GDP.MKTP.KD.ZG.xlsx,.ifmos\training_sample\50_Knowledge\Education\New folder (3)\School\MSME-UNM\ME586\Homework 1\Support Files\API_NY.GDP.MKTP.KD.ZG.xlsx,business_spreadsheet,0.9,pattern_override
README.md,.ifmos\training_sample\60_Technology\Development\Projects\file-database\README.md,technical_documentation,0.95,pattern_override
imagesize.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\imagesize.py,technical_script,0.98,pattern_override
estimate.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\accelerate\commands\estimate.py,technical_script,0.98,pattern_override
config_args.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\accelerate\commands\config\__pycache__\config_args.cpython-311.pyc,compiled_code,0.99,pattern_override
test_notebook.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\accelerate\test_utils\scripts\test_notebook.py,technical_script,0.98,pattern_override
__init__.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\accelerate\test_utils\scripts\__init__.py,technical_script,0.98,pattern_override
operations.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\accelerate\utils\__pycache__\operations.cpython-311.pyc,compiled_code,0.99,pattern_override
__init__.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\alembic\autogenerate\__init__.py,technical_script,0.98,pattern_override
oracle.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\alembic\ddl\oracle.py,technical_script,0.98,pattern_override
env.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\alembic\templates\async\env.py,technical_script,0.98,pattern_override
_tasks.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\anyio\abc\_tasks.py,technical_script,0.98,pattern_override
to_thread.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\anyio\__pycache__\to_thread.cpython-311.pyc,compiled_code,0.99,pattern_override
bce_credentials.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\baidubce\auth\__pycache__\bce_credentials.cpython-311.pyc,compiled_code,0.99,pattern_override
bce_v1_signer.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\baidubce\auth\__pycache__\bce_v1_signer.cpython-311.pyc,compiled_code,0.99,pattern_override
handler.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\baidubce\http\handler.py,technical_script,0.98,pattern_override
bbc_client.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\baidubce\services\bbc\bbc_client.py,technical_script,0.98,pattern_override
template_client.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\baidubce\services\vpc\template_client.py,technical_script,0.98,pattern_override
vpn_client.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\baidubce\services\vpn\vpn_client.py,technical_script,0.98,pattern_override
__init__.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\catalogue\_importlib_metadata\__init__.py,technical_script,0.98,pattern_override
lock.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\cffi\__pycache__\lock.cpython-311.pyc,compiled_code,0.99,pattern_override
sbcsgroupprober.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\chardet\__pycache__\sbcsgroupprober.cpython-311.pyc,compiled_code,0.99,pattern_override
globals.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\click\__pycache__\globals.cpython-311.pyc,compiled_code,0.99,pattern_override
_compat.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\click\__pycache__\_compat.cpython-311.pyc,compiled_code,0.99,pattern_override
winterm_test.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\colorama\tests\__pycache__\winterm_test.cpython-311.pyc,compiled_code,0.99,pattern_override
__init__.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\contourpy\__init__.py,technical_script,0.98,pattern_override
data.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\contourpy\util\data.py,technical_script,0.98,pattern_override
BLAKE2s.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\Crypto\Hash\__pycache__\BLAKE2s.cpython-311.pyc,compiled_code,0.99,pattern_override
TupleHash128.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\Crypto\Hash\__pycache__\TupleHash128.cpython-311.pyc,compiled_code,0.99,pattern_override
Primality.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\Crypto\Math\Primality.py,technical_script,0.98,pattern_override
test_ECC_Ed448.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\Crypto\SelfTest\PublicKey\test_ECC_Ed448.py,technical_script,0.98,pattern_override
padding.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\cryptography\hazmat\primitives\padding.py,technical_script,0.98,pattern_override
__init__.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\__pycache__\__init__.cpython-311.pyc,compiled_code,0.99,pattern_override
version.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\cv2\misc\version.py,technical_script,0.98,pattern_override
agentbricks.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\databricks\sdk\service\agentbricks.py,technical_script,0.98,pattern_override
compute.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\databricks\sdk\service\__pycache__\compute.cpython-311.pyc,compiled_code,0.99,pattern_override
settingsv2.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\databricks\sdk\service\__pycache__\settingsv2.cpython-311.pyc,compiled_code,0.99,pattern_override
__init__.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\dateutil\__pycache__\__init__.cpython-311.pyc,compiled_code,0.99,pattern_override
__init__.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\docker\api\__pycache__\__init__.cpython-311.pyc,compiled_code,0.99,pattern_override
decorators.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\docker\utils\__pycache__\decorators.cpython-311.pyc,compiled_code,0.99,pattern_override
client.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\docker\__pycache__\client.cpython-311.pyc,compiled_code,0.99,pattern_override
helpers.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\docx\image\helpers.py,technical_script,0.98,pattern_override
__init__.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\docx\opc\parts\__init__.py,technical_script,0.98,pattern_override
styles.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\docx\parts\styles.py,technical_script,0.98,pattern_override
meta.json,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\en_core_web_sm\meta.json,technical_config,0.98,pattern_override
http.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fastapi\security\__pycache__\http.cpython-311.pyc,compiled_code,0.99,pattern_override
v2.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fastapi\_compat\__pycache__\v2.cpython-311.pyc,compiled_code,0.99,pattern_override
requests.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fastapi\__pycache__\requests.cpython-311.pyc,compiled_code,0.99,pattern_override
templating.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\flask\templating.py,technical_script,0.98,pattern_override
help.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\help.py,technical_script,0.98,pattern_override
geometry.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\colorLib\geometry.py,technical_script,0.98,pattern_override
lookupDebugInfo.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\feaLib\__pycache__\lookupDebugInfo.cpython-311.pyc,compiled_code,0.99,pattern_override
unicode.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\merge\__pycache__\unicode.cpython-311.pyc,compiled_code,0.99,pattern_override
enumTools.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\misc\enumTools.py,technical_script,0.98,pattern_override
cliTools.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\misc\__pycache__\cliTools.cpython-311.pyc,compiled_code,0.99,pattern_override
lazyTools.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\misc\__pycache__\lazyTools.cpython-311.pyc,compiled_code,0.99,pattern_override
py23.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\misc\__pycache__\py23.cpython-311.pyc,compiled_code,0.99,pattern_override
pointPen.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\pens\pointPen.py,technical_script,0.98,pattern_override
__init__.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\pens\__pycache__\__init__.cpython-311.pyc,compiled_code,0.99,pattern_override
removeOverlaps.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\removeOverlaps.py,technical_script,0.98,pattern_override
__main__.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\__main__.py,technical_script,0.98,pattern_override
BitmapGlyphMetrics.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\tables\BitmapGlyphMetrics.py,technical_script,0.98,pattern_override
TupleVariation.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\tables\TupleVariation.py,technical_script,0.98,pattern_override
_s_b_i_x.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\tables\_s_b_i_x.py,technical_script,0.98,pattern_override
otTraverse.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\tables\__pycache__\otTraverse.cpython-311.pyc,compiled_code,0.99,pattern_override
S_I_N_G_.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\tables\__pycache__\S_I_N_G_.cpython-311.pyc,compiled_code,0.99,pattern_override
ttProgram.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\tables\__pycache__\ttProgram.cpython-311.pyc,compiled_code,0.99,pattern_override
_b_s_l_n.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\tables\__pycache__\_b_s_l_n.cpython-311.pyc,compiled_code,0.99,pattern_override
sfnt.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\__pycache__\sfnt.cpython-311.pyc,compiled_code,0.99,pattern_override
ttFont.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\ttLib\__pycache__\ttFont.cpython-311.pyc,compiled_code,0.99,pattern_override
Blocks.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\unicodedata\__pycache__\Blocks.cpython-311.pyc,compiled_code,0.99,pattern_override
mvar.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\varLib\mvar.py,technical_script,0.98,pattern_override
fontBuilder.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\fontTools\__pycache__\fontBuilder.cpython-311.pyc,compiled_code,0.99,pattern_override
response.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\future\backports\urllib\response.py,technical_script,0.98,pattern_override
__init__.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\future\standard_library\__pycache__\__init__.cpython-311.pyc,compiled_code,0.99,pattern_override
newdict.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\future\types\newdict.py,technical_script,0.98,pattern_override
__init__.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\git\refs\__pycache__\__init__.cpython-311.pyc,compiled_code,0.99,pattern_override
exc.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\git\__pycache__\exc.cpython-311.pyc,compiled_code,0.99,pattern_override
requests.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\google\auth\transport\requests.py,technical_script,0.98,pattern_override
_credentials_base.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\google\auth\__pycache__\_credentials_base.cpython-311.pyc,compiled_code,0.99,pattern_override
_helpers.cpython-311.pyc,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\google\auth\__pycache__\_helpers.cpython-311.pyc,compiled_code,0.99,pattern_override
_client_async.py,.ifmos\training_sample\60_Technology\System_Administration\Scripts\IFMOS\Python\pytorch-venv\Lib\site-packages\google\oauth2\_client_async.py,technical_script,0.98,pattern_override
